tf,split,hour,dow,net
15m,train,0,3,-5.946274241901923
15m,train,6,2,1.9374667432502828
15m,train,20,2,10.893932302989647
15m,train,17,3,-0.5015475821804722
15m,train,4,4,-2.269224813319884
15m,train,12,4,0.27255492723802127
15m,train,16,4,-3.2325399882759642
15m,train,11,5,1.6652799210860976
15m,train,17,5,-1.9794000680230797
15m,train,23,5,-2.3987948979350433
15m,train,9,6,-1.7829557196645534
15m,train,13,6,-1.646352196215937
15m,train,3,0,-1.7679932116662713
15m,train,16,0,-2.9113198816396966
15m,train,0,1,10.007028315398403
15m,train,13,1,-30.205062975993616
15m,train,19,1,-1.463256951281831
15m,train,20,1,9.51797379001573
15m,train,1,3,-1.6220511772061972
15m,train,8,3,5.653529578554251
15m,train,16,3,11.627990534902848
15m,train,5,4,-1.7301256815030421
15m,train,11,5,11.30516924466388
15m,train,8,6,11.39520836683499
15m,train,14,6,-2.1117491438334954
15m,train,15,6,-2.971561550854548
15m,train,13,0,-1.1910677980634314
15m,train,18,1,11.358024985443476
15m,train,16,1,-1.5214356634966457
15m,train,18,1,11.00610172599512
15m,train,10,2,-1.4388431302672116
15m,train,13,2,9.860485115864773
15m,train,23,2,0.4144343305866073
15m,train,1,3,-0.43105540267510484
15m,train,17,3,10.184246810802458
15m,train,14,3,-2.217155534761356
15m,train,6,4,9.812979513457488
15m,train,20,6,9.563971307244655
15m,train,4,5,0.46745781343973475
15m,train,9,6,0.7018811504423381
15m,train,14,5,1.8444063175366099
15m,train,9,6,-0.8836362815743337
15m,train,21,1,4.152459627247795
15m,train,3,0,9.29755695667098
15m,train,5,0,-0.5471439126092246
15m,train,8,0,0.31721371628356826
15m,train,12,0,-2.6117592098129285
15m,train,17,0,-1.8945429653697812
15m,train,2,1,0.9649572556100168
15m,train,12,1,-3.6035754019446555
15m,train,11,1,-3.019259198156497
15m,train,2,2,-4.780043320326956
15m,train,15,2,-0.36217892138242247
15m,train,7,3,2.054598771455301
15m,train,13,3,-2.5586833938554534
15m,train,1,5,8.97353647822981
15m,train,3,5,-1.1274655632697752
15m,train,10,5,-0.6077332258760448
15m,train,12,5,8.817099634316877
15m,train,19,5,-1.2378182603477192
15m,train,19,6,-1.5483294545942914
15m,train,18,6,-2.5575088805590696
15m,train,22,6,-2.0447765440012424
15m,train,14,0,-1.1723219298617145
15m,train,7,2,8.917548436090021
15m,train,11,2,1.0886213022228268
15m,train,21,2,-2.006049085052128
15m,train,6,4,-1.9268780001803902
15m,train,16,4,-0.08605426269665495
15m,train,21,4,-1.846468089877376
15m,train,22,4,-3.2146113154567297
15m,train,2,5,8.93288015226314
15m,train,16,5,10.307730527164944
15m,train,3,6,9.691891232052217
15m,train,7,6,2.7409868036548115
15m,train,10,1,-21.767528595682705
15m,train,9,1,11.080978482176814
15m,train,11,1,-1.4308355173643963
15m,train,6,2,0.9533149797848909
15m,train,11,3,10.529509885873713
15m,train,15,3,-2.9285395568960317
15m,train,16,3,0.5621246857355888
15m,train,6,4,-6.258611366797451
15m,train,9,4,-1.0704535449573958
15m,train,7,5,-0.724734787180293
15m,train,2,0,-1.7606118372786708
15m,train,8,6,4.893610779120551
15m,train,14,6,-2.2961630608006383
15m,train,17,0,-5.248459398564879
15m,train,10,1,0.7827901264893364
15m,train,5,2,-2.3212570042612266
15m,train,13,2,2.074522206281698
15m,train,9,2,13.07965769105179
15m,train,18,2,8.323052636420554
15m,train,18,2,-1.153208069468986
15m,train,8,3,-1.6020320173287268
15m,train,14,3,11.134623053672527
15m,train,8,4,-2.435874285364854
15m,train,6,2,1.508194590547307
15m,train,6,5,-0.6717361013881206
15m,train,9,5,11.24145721776237
15m,train,14,5,-0.1959477322854023
15m,train,1,6,-1.95471839813121
15m,train,7,6,-15.515622128190524
15m,train,13,0,-2.2770112087952983
15m,train,1,1,11.093685609247725
15m,train,2,2,-0.9670887124519016
15m,train,17,2,1.5041468261298188
15m,train,7,3,-4.737649814298712
15m,train,21,5,-1.3188256101965226
15m,train,23,5,11.313822363844993
15m,train,5,0,-2.487520747872075
15m,train,6,0,-3.6794501094751197
15m,train,14,0,-4.801855101714018
15m,train,17,0,10.241389160779208
15m,train,8,1,-3.555348727222143
15m,train,16,1,12.231229893132152
15m,train,10,3,-1.5005188927595157
15m,train,5,2,6.017224823047555
15m,train,12,2,0.18516356559451252
15m,train,13,2,-9.908903160185558
15m,train,20,2,12.317009154164174
15m,train,17,3,12.198526070360787
15m,train,0,4,-4.314652155387748
