r_target,expiry_days,n,win_rate,avg_pnl,total_pnl,tf,split,depth_frac,n_zones
5.0,0.75,10950,0.268,-2.5253,-27651.86,15m,train,0.4,16895
5.0,1.0,10950,0.251,-3.2685,-35790.03,15m,train,0.4,16895
5.0,1.5,10950,0.229,-4.4784,-49038.17,15m,train,0.4,16895
5.0,2.0,10950,0.213,-5.4731,-59930.9,15m,train,0.4,16895
7.0,0.25,10950,0.348,-0.2163,-2368.77,15m,train,0.4,16895
7.0,0.5,10950,0.273,-1.3909,-15230.59,15m,train,0.4,16895
7.0,0.75,10950,0.241,-2.3311,-25525.77,15m,train,0.4,16895
7.0,1.0,10950,0.221,-3.0758,-33680.22,15m,train,0.4,16895
7.0,1.5,10950,0.201,-4.3016,-47102.65,15m,train,0.4,16895
7.0,2.0,10950,0.187,-5.3164,-58214.95,15m,train,0.4,16895
10.0,0.25,10950,0.341,-0.1375,-1505.53,15m,train,0.4,16895
10.0,0.5,10950,0.26,-1.2584,-13779.42,15m,train,0.4,16895
10.0,0.75,10950,0.221,-2.2004,-24094.86,15m,train,0.4,16895
10.0,1.0,10950,0.198,-2.9489,-32290.92,15m,train,0.4,16895
10.0,1.5,10950,0.172,-4.1844,-45819.06,15m,train,0.4,16895
10.0,2.0,10950,0.156,-5.2124,-57076.21,15m,train,0.4,16895
1.5,0.25,10920,0.437,-1.1175,-12202.97,15m,train,0.425,16895
1.5,0.5,10920,0.335,-2.2277,-24325.96,15m,train,0.425,16895
1.5,0.75,10920,0.258,-3.0466,-33269.23,15m,train,0.425,16895
1.5,1.0,10920,0.205,-3.7209,-40631.83,15m,train,0.425,16895
1.5,1.5,10920,0.138,-4.8482,-52942.51,15m,train,0.425,16895
1.5,2.0,10920,0.107,-5.7814,-63132.56,15m,train,0.425,16895
2.0,0.25,10920,0.429,-0.9683,-10574.11,15m,train,0.425,16895
2.0,0.5,10920,0.355,-2.1237,-23191.3,15m,train,0.425,16895
2.0,0.75,10920,0.295,-2.9595,-32317.5,15m,train,0.425,16895
2.0,1.0,10920,0.247,-3.6421,-39772.18,15m,train,0.425,16895
2.0,1.5,10920,0.177,-4.7844,-52245.4,15m,train,0.425,16895
2.0,2.0,10920,0.136,-5.7251,-62518.53,15m,train,0.425,16895
2.5,0.25,10920,0.414,-0.8512,-9294.91,15m,train,0.425,16895
2.5,0.5,10920,0.352,-2.0384,-22259.85,15m,train,0.425,16895
2.5,0.75,10920,0.309,-2.8963,-31627.08,15m,train,0.425,16895
2.5,1.0,10920,0.271,-3.5865,-39164.85,15m,train,0.425,16895
2.5,1.5,10920,0.208,-4.7438,-51802.59,15m,train,0.425,16895
2.5,2.0,10920,0.165,-5.6933,-62170.36,15m,train,0.425,16895
3.0,0.25,10920,0.399,-0.7339,-8013.69,15m,train,0.425,16895
3.0,0.5,10920,0.34,-1.9469,-21259.77,15m,train,0.425,16895
3.0,0.75,10920,0.306,-2.8238,-30835.83,15m,train,0.425,16895
3.0,1.0,10920,0.277,-3.5281,-38527.14,15m,train,0.425,16895
3.0,1.5,10920,0.229,-4.6965,-51285.26,15m,train,0.425,16895
3.0,2.0,10920,0.188,-5.6537,-61738.21,15m,train,0.425,16895
3.5,0.25,10920,0.384,-0.6042,-6598.23,15m,train,0.425,16895
3.5,0.5,10920,0.326,-1.8344,-20031.45,15m,train,0.425,16895
3.5,0.75,10920,0.297,-2.7338,-29852.86,15m,train,0.425,16895
3.5,1.0,10920,0.275,-3.4478,-37650.23,15m,train,0.425,16895
3.5,1.5,10920,0.24,-4.6273,-50530.47,15m,train,0.425,16895
3.5,2.0,10920,0.208,-5.5915,-61059.47,15m,train,0.425,16895
4.0,0.25,10920,0.376,-0.5049,-5513.25,15m,train,0.425,16895
4.0,0.5,10920,0.315,-1.7468,-19075.21,15m,train,0.425,16895
4.0,0.75,10920,0.287,-2.6637,-29087.51,15m,train,0.425,16895
4.0,1.0,10920,0.27,-3.3827,-36939.23,15m,train,0.425,16895
4.0,1.5,10920,0.241,-4.5705,-49909.32,15m,train,0.425,16895
4.0,2.0,10920,0.216,-5.5469,-60572.62,15m,train,0.425,16895
4.5,0.25,10920,0.367,-0.4169,-4552.67,15m,train,0.425,16895
4.5,0.5,10920,0.305,-1.6549,-18072.02,15m,train,0.425,16895
4.5,0.75,10920,0.277,-2.5843,-28220.49,15m,train,0.425,16895
4.5,1.0,10920,0.26,-3.3139,-36187.71,15m,train,0.425,16895
4.5,1.5,10920,0.236,-4.5116,-49266.85,15m,train,0.425,16895
4.5,2.0,10920,0.217,-5.4983,-60041.27,15m,train,0.425,16895
5.0,0.25,10920,0.361,-0.3787,-4135.18,15m,train,0.425,16895
5.0,0.5,10920,0.296,-1.6021,-17495.35,15m,train,0.425,16895
5.0,0.75,10920,0.268,-2.5319,-27648.26,15m,train,0.425,16895
5.0,1.0,10920,0.251,-3.2675,-35681.28,15m,train,0.425,16895
5.0,1.5,10920,0.229,-4.4723,-48837.45,15m,train,0.425,16895
5.0,2.0,10920,0.213,-5.4635,-59661.67,15m,train,0.425,16895
7.0,0.25,10920,0.347,-0.22,-2401.97,15m,train,0.425,16895
7.0,0.5,10920,0.273,-1.3942,-15224.13,15m,train,0.425,16895
7.0,0.75,10920,0.24,-2.3413,-25566.92,15m,train,0.425,16895
7.0,1.0,10920,0.22,-3.0899,-33741.18,15m,train,0.425,16895
