tf,depth_frac,r_target,expiry_days,avg_pnl_holdout,avg_pnl_train,avg_pnl_validation,n_holdout,n_train,n_validation
15m,0.525,3.5,0.75,1.9038,1.5075,0.8063,628,1532,710
15m,0.625,4.0,0.75,1.7839,1.5072,1.0906,617,1505,701
15m,0.7,3.0,0.25,1.7397,1.5066,1.3526,611,1485,687
15m,0.3,4.0,1.5,2.0008,1.5055,0.2297,645,1577,731
15m,0.3,4.5,1.5,2.0486,1.5046,0.2586,645,1577,731
15m,0.55,4.0,1.0,1.7952,1.5037,0.794,627,1525,706
15m,0.4,3.5,1.0,1.8541,1.503,0.4557,640,1563,726
15m,0.55,3.5,0.75,1.7391,1.503,0.9326,627,1525,706
15m,0.3,3.0,0.75,1.6731,1.5008,0.4403,645,1577,731
15m,0.475,4.5,1.5,2.0962,1.5001,0.756,636,1544,719
15m,0.475,5.0,1.5,2.1242,1.4994,0.6766,636,1544,719
15m,0.45,4.5,1.5,2.0833,1.4993,0.5567,638,1550,723
15m,0.675,4.5,1.5,1.8795,1.4984,1.095,611,1489,692
15m,0.375,4.0,2.0,1.8813,1.4983,0.3504,640,1566,727
15m,0.55,5.0,1.5,1.9672,1.4977,0.8787,627,1525,706
15m,0.475,3.5,0.75,1.8099,1.4966,0.6457,636,1544,719
15m,0.325,5.0,2.0,2.2427,1.495,0.466,643,1573,729
15m,0.675,3.5,0.5,1.7605,1.4936,1.3165,611,1489,692
15m,0.35,3.5,1.5,1.6561,1.4929,0.3011,643,1571,728
15m,0.425,4.0,1.5,1.9599,1.4895,0.5853,640,1557,724
15m,0.55,4.5,1.5,1.8773,1.489,0.8616,627,1525,706
15m,0.675,5.0,2.0,1.8471,1.4881,0.9985,611,1489,692
15m,0.325,4.0,1.5,1.9596,1.4872,0.3577,643,1573,729
15m,0.35,4.0,2.0,1.8553,1.4851,0.3347,643,1571,728
15m,0.7,5.0,2.0,1.7921,1.485,1.2104,611,1485,687
15m,0.35,3.0,0.75,1.6178,1.4849,0.4405,643,1571,728
15m,0.625,4.5,1.5,1.7321,1.4844,0.9656,617,1505,701
15m,0.7,3.5,0.5,1.6032,1.4842,1.3349,611,1485,687
15m,0.575,4.5,2.0,1.8403,1.4835,0.8125,624,1519,704
15m,0.475,4.0,1.5,1.8864,1.4831,0.6452,636,1544,719
15m,0.4,4.5,1.5,2.0836,1.4824,0.4553,640,1563,726
15m,0.325,4.5,1.5,2.0022,1.482,0.324,643,1573,729
15m,0.575,4.0,1.0,1.989,1.481,0.8001,624,1519,704
15m,0.6,4.5,2.0,1.6216,1.481,0.9142,618,1513,703
15m,0.625,5.0,1.0,1.9989,1.479,1.1122,617,1505,701
15m,0.525,2.5,0.25,1.8038,1.4776,0.9681,628,1532,710
15m,0.65,3.5,0.5,1.7375,1.4766,1.2613,613,1496,695
15m,0.65,4.0,1.0,1.6968,1.4762,1.032,613,1496,695
15m,0.6,4.0,1.0,1.8019,1.4737,0.9421,618,1513,703
15m,0.55,2.5,0.25,1.6794,1.4722,1.0347,627,1525,706
15m,0.45,5.0,1.5,2.1692,1.472,0.6029,638,1550,723
15m,0.325,3.0,0.75,1.688,1.4696,0.4956,643,1573,729
15m,0.7,4.5,2.0,1.7477,1.4686,1.168,611,1485,687
15m,0.575,3.5,0.75,1.7379,1.467,0.972,624,1519,704
15m,0.3,3.5,1.5,1.6926,1.4654,0.258,645,1577,731
15m,0.5,3.5,0.75,1.936,1.4644,0.8267,631,1535,715
15m,0.65,4.5,1.5,1.7623,1.4643,0.9762,613,1496,695
15m,0.7,4.0,1.5,1.7876,1.4612,1.2859,611,1485,687
15m,0.3,5.0,2.0,2.2008,1.4605,0.3487,645,1577,731
15m,0.625,3.5,0.5,1.7387,1.459,1.2165,617,1505,701
15m,0.65,5.0,1.5,1.7897,1.4586,0.9869,613,1496,695
15m,0.5,5.0,1.5,2.143,1.4585,0.7065,631,1535,715
15m,0.45,3.0,0.5,1.8047,1.4567,0.7355,638,1550,723
15m,0.4,4.0,2.0,1.9971,1.4566,0.5089,640,1563,726
15m,0.45,4.0,1.5,1.9303,1.4549,0.5927,638,1550,723
15m,0.375,4.5,2.0,2.0808,1.4546,0.2935,640,1566,727
15m,0.425,4.5,2.0,2.0106,1.4529,0.4875,640,1557,724
15m,0.675,4.5,2.0,1.8313,1.4523,1.0764,611,1489,692
15m,0.5,2.5,0.25,1.8103,1.4519,1.0426,631,1535,715
15m,0.525,5.0,2.0,2.0652,1.4517,0.6569,628,1532,710
15m,0.5,4.5,1.5,2.1174,1.4462,0.8062,631,1535,715
15m,0.325,3.5,1.5,1.7102,1.4454,0.4273,643,1573,729
15m,0.675,4.0,1.5,1.7512,1.444,1.1192,611,1489,692
15m,0.425,3.0,0.75,1.6435,1.4428,0.7445,640,1557,724
15m,0.5,4.0,1.5,1.9126,1.4416,0.7049,631,1535,715
15m,0.35,3.5,2.0,1.6097,1.4393,0.2753,643,1571,728
15m,0.525,4.0,1.5,1.8925,1.4381,0.6863,628,1532,710
15m,0.475,4.5,2.0,2.0641,1.4375,0.7303,636,1544,719
15m,0.625,4.5,2.0,1.6741,1.4369,0.9442,617,1505,701
15m,0.575,2.5,0.25,1.7436,1.4365,1.1078,624,1519,704
15m,0.375,5.0,2.0,2.3238,1.4353,0.4037,640,1566,727
15m,0.525,4.5,1.5,2.0437,1.4339,0.8525,628,1532,710
15m,0.6,2.5,0.25,1.6419,1.4339,1.1626,618,1513,703
15m,0.55,4.5,2.0,1.8271,1.4334,0.8359,627,1525,706
15m,0.3,4.0,2.0,1.9654,1.4328,0.1953,645,1577,731
15m,0.525,3.5,1.0,1.866,1.4323,0.7756,628,1532,710
15m,0.475,4.0,2.0,1.8426,1.4318,0.6232,636,1544,719
15m,0.45,3.5,1.0,1.768,1.4315,0.5613,638,1550,723
15m,0.45,4.5,2.0,2.0488,1.4315,0.5295,638,1550,723
15m,0.425,4.0,2.0,1.9107,1.4313,0.5572,640,1557,724
15m,0.55,3.5,1.0,1.7029,1.4304,0.9091,627,1525,706
15m,0.475,3.0,0.5,1.7684,1.4293,0.8035,636,1544,719
15m,0.55,5.0,2.0,1.9317,1.4289,0.8553,627,1525,706
