zone_kind,r_target,expiry_days,iv_threshold,n,win_rate,avg_pnl_$,total_pnl_$,std_pnl_$
OB,2.0,5.0,70,548,0.538,0.915,501.2,7.683
OB,2.0,5.0,75,439,0.547,0.844,370.3,7.902
OB,2.0,5.0,80,305,0.57,0.788,240.4,6.609
OB,2.0,5.0,85,247,0.575,0.609,150.5,6.795
OB,2.0,5.0,90,226,0.588,0.67,151.4,7.029
OB,2.5,0.5,60,1227,0.535,1.241,1523.3,7.687
OB,2.5,0.5,65,785,0.538,1.214,953.1,7.915
OB,2.5,0.5,70,548,0.547,0.991,543.3,8.369
OB,2.5,0.5,75,439,0.558,0.962,422.4,8.667
OB,2.5,0.5,80,305,0.58,1.009,307.9,7.651
OB,2.5,0.5,85,247,0.579,0.855,211.1,8.073
OB,2.5,0.5,90,226,0.588,0.87,196.5,8.365
OB,2.5,1.0,60,1227,0.512,1.135,1392.6,7.594
OB,2.5,1.0,65,785,0.513,1.121,879.7,7.798
OB,2.5,1.0,70,548,0.524,0.923,505.8,8.216
OB,2.5,1.0,75,439,0.538,0.903,396.6,8.453
OB,2.5,1.0,80,305,0.557,0.925,282.0,7.377
OB,2.5,1.0,85,247,0.563,0.787,194.3,7.729
OB,2.5,1.0,90,226,0.571,0.812,183.5,8.001
OB,2.5,2.0,60,1227,0.5,1.06,1300.7,7.5
OB,2.5,2.0,65,785,0.503,1.067,837.7,7.72
OB,2.5,2.0,70,548,0.509,0.886,485.7,8.1
OB,2.5,2.0,75,439,0.524,0.876,384.6,8.287
OB,2.5,2.0,80,305,0.544,0.876,267.2,7.115
OB,2.5,2.0,85,247,0.551,0.75,185.4,7.402
OB,2.5,2.0,90,226,0.558,0.783,177.0,7.653
OB,2.5,3.0,60,1227,0.495,1.03,1263.3,7.468
OB,2.5,3.0,65,785,0.498,1.046,821.2,7.688
OB,2.5,3.0,70,548,0.505,0.873,478.2,8.049
OB,2.5,3.0,75,439,0.519,0.867,380.7,8.212
OB,2.5,3.0,80,305,0.541,0.857,261.3,6.984
OB,2.5,3.0,85,247,0.547,0.737,182.1,7.238
OB,2.5,3.0,90,226,0.558,0.773,174.7,7.478
OB,2.5,5.0,60,1227,0.491,1.0,1226.5,7.441
OB,2.5,5.0,65,785,0.496,1.026,805.7,7.659
OB,2.5,5.0,70,548,0.502,0.86,471.1,7.999
OB,2.5,5.0,75,439,0.515,0.86,377.6,8.137
OB,2.5,5.0,80,305,0.534,0.838,255.7,6.849
OB,2.5,5.0,85,247,0.538,0.725,179.2,7.068
OB,2.5,5.0,90,226,0.549,0.764,172.6,7.298
OB,3.0,0.5,60,1227,0.516,1.336,1639.1,8.229
OB,3.0,0.5,65,785,0.516,1.254,984.2,8.451
OB,3.0,0.5,70,548,0.531,1.198,656.3,8.952
OB,3.0,0.5,75,439,0.54,1.204,528.8,9.299
OB,3.0,0.5,80,305,0.567,1.159,353.4,8.024
OB,3.0,0.5,85,247,0.571,0.935,230.9,8.393
OB,3.0,0.5,90,226,0.58,0.95,214.7,8.699
OB,3.0,1.0,60,1227,0.489,1.204,1477.5,8.157
OB,3.0,1.0,65,785,0.489,1.143,897.6,8.382
OB,3.0,1.0,70,548,0.504,1.126,616.8,8.861
OB,3.0,1.0,75,439,0.517,1.141,500.9,9.159
OB,3.0,1.0,80,305,0.541,1.063,324.1,7.78
OB,3.0,1.0,85,247,0.551,0.859,212.1,8.079
OB,3.0,1.0,90,226,0.558,0.884,199.9,8.366
OB,3.0,2.0,60,1227,0.476,1.115,1368.4,8.092
OB,3.0,2.0,65,785,0.476,1.081,848.2,8.352
OB,3.0,2.0,70,548,0.487,1.089,596.7,8.804
OB,3.0,2.0,75,439,0.501,1.114,488.8,9.065
OB,3.0,2.0,80,305,0.525,1.01,308.0,7.557
OB,3.0,2.0,85,247,0.534,0.82,202.5,7.789
OB,3.0,2.0,90,226,0.54,0.852,192.7,8.058
OB,3.0,3.0,60,1227,0.469,1.079,1324.5,8.076
OB,3.0,3.0,65,785,0.47,1.056,828.9,8.345
OB,3.0,3.0,70,548,0.484,1.076,589.5,8.784
OB,3.0,3.0,75,439,0.497,1.106,485.3,9.028
OB,3.0,3.0,80,305,0.521,0.99,301.9,7.449
OB,3.0,3.0,85,247,0.53,0.806,199.1,7.648
OB,3.0,3.0,90,226,0.54,0.842,190.3,7.908
OB,3.0,5.0,60,1227,0.464,1.045,1281.6,8.068
OB,3.0,5.0,65,785,0.464,1.033,810.8,8.345
OB,3.0,5.0,70,548,0.478,1.064,583.0,8.771
OB,3.0,5.0,75,439,0.49,1.1,482.9,8.999
OB,3.0,5.0,80,305,0.515,0.971,296.3,7.343
OB,3.0,5.0,85,247,0.522,0.795,196.3,7.508
OB,3.0,5.0,90,226,0.531,0.833,188.4,7.758
BB,1.0,0.5,60,399,0.594,1.306,521.2,9.096
BB,1.0,0.5,65,265,0.604,1.098,291.1,9.681
BB,1.0,0.5,70,186,0.629,1.124,209.0,10.759
BB,1.0,0.5,75,150,0.653,1.141,171.2,10.569
BB,1.0,0.5,80,101,0.653,1.043,105.4,9.738
BB,1.0,0.5,85,78,0.679,2.02,157.6,7.374
BB,1.0,0.5,90,65,0.677,2.156,140.1,7.486
BB,1.0,1.0,60,399,0.589,1.375,548.6,9.13
BB,1.0,1.0,65,265,0.6,1.184,313.8,9.645
BB,1.0,1.0,70,186,0.624,1.295,240.9,10.725
BB,1.0,1.0,75,150,0.653,1.313,196.9,10.419
BB,1.0,1.0,80,101,0.653,1.202,121.4,9.561
BB,1.0,1.0,85,78,0.679,2.15,167.7,7.392
BB,1.0,1.0,90,65,0.677,2.248,146.1,7.383
BB,1.0,2.0,60,399,0.584,1.442,575.3,9.231
BB,1.0,2.0,65,265,0.592,1.254,332.4,9.663
BB,1.0,2.0,70,186,0.618,1.423,264.7,10.746
BB,1.0,2.0,75,150,0.647,1.442,216.3,10.352
BB,1.0,2.0,80,101,0.644,1.326,133.9,9.482
BB,1.0,2.0,85,78,0.667,2.25,175.5,7.488
BB,1.0,2.0,90,65,0.662,2.312,150.3,7.358
BB,1.0,3.0,60,399,0.584,1.475,588.5,9.296
BB,1.0,3.0,65,265,0.592,1.288,341.2,9.683
BB,1.0,3.0,70,186,0.618,1.482,275.6,10.768
BB,1.0,3.0,75,150,0.647,1.501,225.2,10.333
BB,1.0,3.0,80,101,0.644,1.385,139.9,9.456
BB,1.0,3.0,85,78,0.667,2.298,179.2,7.549
BB,1.0,3.0,90,65,0.662,2.341,152.2,7.349
BB,1.0,5.0,60,399,0.584,1.51,602.4,9.375
BB,1.0,5.0,65,265,0.592,1.322,350.4,9.711
