depth_frac,r_target,expiry_days,avg_pnl_holdout,avg_pnl_train,avg_pnl_validation,n_holdout,n_train,n_validation
0.5,3.5,4.0,2.6866,1.5147,3.146,181,459,226
0.5,1.5,2.0,1.5345,1.514,2.2036,181,459,226
0.5,2.5,3.0,2.5866,1.5135,2.6231,181,459,226
0.55,4.5,2.0,2.5178,1.5132,3.8152,178,453,222
0.525,5.0,2.0,2.9367,1.513,3.4047,180,455,224
0.55,4.0,1.0,2.2438,1.513,3.5157,178,453,222
0.65,4.0,6.0,2.8393,1.5122,2.8855,176,438,220
0.5,3.5,2.0,2.3458,1.5117,3.118,181,459,226
0.45,4.0,6.0,2.5145,1.5107,2.9565,185,460,228
0.625,4.0,3.0,2.1219,1.5107,3.0748,176,442,220
0.55,4.5,3.0,2.7893,1.51,3.8181,178,453,222
0.65,4.5,3.0,2.456,1.5097,2.9797,176,438,220
0.525,1.5,3.0,1.5583,1.5097,2.246,180,455,224
0.675,3.5,1.0,2.1462,1.5095,2.7186,175,436,218
0.65,4.0,7.0,2.9827,1.5091,2.8847,176,438,220
0.475,2.5,7.0,2.926,1.5089,2.331,184,460,227
0.475,4.5,4.0,3.2376,1.5087,3.0327,184,460,227
0.45,1.5,2.0,1.4235,1.5084,1.4685,185,460,228
0.45,4.0,7.0,2.6097,1.5079,2.9591,185,460,228
0.425,2.5,2.0,1.4563,1.5075,2.0494,186,463,229
0.55,4.5,1.0,2.19,1.5074,3.8494,178,453,222
0.425,2.5,3.0,1.6379,1.5059,2.0228,186,463,229
0.475,2.5,6.0,2.8292,1.505,2.3279,184,460,227
0.5,5.0,2.0,3.2454,1.5035,3.0092,181,459,226
0.425,4.0,2.0,2.0681,1.5034,3.2162,186,463,229
0.425,2.5,4.0,1.777,1.5026,2.0086,186,463,229
0.625,4.0,4.0,2.2605,1.5024,3.0762,176,442,220
0.425,4.0,5.0,2.6138,1.5017,3.2216,186,463,229
0.425,2.5,5.0,1.8904,1.5012,1.9992,186,463,229
0.5,3.5,1.0,2.1266,1.5009,3.1075,181,459,226
0.425,2.5,6.0,1.6457,1.5006,1.9924,186,463,229
0.425,2.5,7.0,1.7344,1.5004,1.987,186,463,229
0.475,2.5,5.0,2.9387,1.5001,2.3242,184,460,227
0.55,4.5,4.0,2.9467,1.5001,3.8231,178,453,222
0.6,1.5,1.0,1.33,1.4998,2.0655,177,446,221
0.5,2.5,2.0,2.3761,1.4986,2.6096,181,459,226
0.525,1.5,2.0,1.3858,1.4985,2.2351,180,455,224
0.475,4.5,3.0,3.0531,1.4983,3.0338,184,460,227
0.625,2.5,7.0,2.6394,1.4981,2.1584,176,442,220
0.625,4.0,5.0,2.3755,1.4976,3.0772,176,442,220
0.625,2.5,6.0,2.5755,1.4969,2.1603,176,442,220
0.425,5.0,4.0,2.9459,1.4964,2.6662,186,463,229
0.5,1.5,1.0,1.2654,1.4962,2.1848,181,459,226
0.65,4.5,4.0,2.6021,1.4961,2.9751,176,438,220
0.625,2.5,5.0,2.4983,1.4952,2.1622,176,442,220
0.425,4.0,6.0,2.3772,1.495,3.2242,186,463,229
0.625,4.0,6.0,2.3546,1.4944,3.078,176,442,220
0.55,4.5,5.0,3.0689,1.4943,3.8278,178,453,222
0.475,4.0,5.0,2.9131,1.494,3.2686,184,460,227
0.475,4.0,2.0,2.3859,1.4938,3.2409,184,460,227
0.475,2.5,4.0,2.8119,1.4938,2.3193,184,460,227
0.425,5.0,2.0,2.4568,1.4936,2.7991,186,463,229
0.625,2.5,4.0,2.4022,1.4928,2.1641,176,442,220
0.575,3.0,1.0,2.1209,1.4925,2.7156,178,450,222
0.425,4.0,7.0,2.4729,1.4923,3.2266,186,463,229
0.625,4.0,7.0,2.5623,1.4921,3.0785,176,442,220
0.5,5.0,3.0,3.5603,1.491,2.9986,181,459,226
0.525,5.0,1.0,2.6542,1.4909,3.6748,180,455,224
0.425,2.5,1.0,1.2638,1.4909,2.1358,186,463,229
0.55,4.5,6.0,3.1488,1.4909,3.832,178,453,222
0.625,2.5,3.0,2.2776,1.4896,2.1661,176,442,220
0.55,4.5,7.0,3.2441,1.4889,3.8358,178,453,222
0.475,4.0,6.0,2.7962,1.4878,3.275,184,460,227
0.65,4.5,5.0,2.7224,1.4877,2.972,176,438,220
0.45,1.5,1.0,1.1573,1.4874,1.458,185,460,228
0.475,4.5,2.0,2.764,1.4871,3.0466,184,460,227
0.675,3.5,2.0,2.4524,1.4865,2.7231,175,436,218
0.45,5.0,1.0,2.6768,1.486,2.5932,185,460,228
0.625,2.5,1.0,1.8528,1.4857,2.1748,176,442,220
0.475,4.0,7.0,2.8875,1.4856,3.2805,184,460,227
0.625,2.5,2.0,2.1074,1.4855,2.1683,176,442,220
0.475,2.5,3.0,2.6534,1.4852,2.3127,184,460,227
0.7,1.5,1.0,2.378,1.4832,2.3794,175,431,217
0.625,5.0,1.0,2.0161,1.483,3.5701,176,442,220
0.65,4.5,6.0,2.7729,1.4819,2.9697,176,438,220
0.525,1.5,1.0,1.1144,1.4811,2.2103,180,455,224
0.5,2.5,1.0,2.0358,1.4785,2.5861,181,459,226
0.475,4.0,1.0,2.0797,1.4784,3.2573,184,460,227
0.675,3.5,3.0,2.6541,1.4782,2.7283,175,436,218
0.65,4.5,7.0,2.9166,1.4777,2.9679,176,438,220
0.7,5.0,1.0,2.3238,1.4753,3.6268,175,431,217
0.375,5.0,1.0,2.9575,1.475,3.0875,187,464,231
0.675,3.5,4.0,2.8043,1.4743,2.7319,175,436,218
0.475,2.5,2.0,2.4376,1.4734,2.303,184,460,227
0.5,5.0,4.0,3.7607,1.4727,3.0018,181,459,226
0.4,5.0,3.0,2.6561,1.4724,3.1455,186,463,230
0.675,3.5,5.0,2.9228,1.472,2.7345,175,436,218
0.675,3.5,6.0,3.0198,1.4703,2.7363,175,436,218
