ts_ms,open,high,low,close,volume
1781146800000,1640.2,1643.01,1635.21,1636.93,19946.32
1781147700000,1636.93,1640.0,1635.78,1639.05,2818.27
1781148600000,1639.05,1651.0,1639.04,1645.17,41043.12
1781149500000,1645.17,1665.37,1644.73,1653.35,71911.83
1781150400000,1653.35,1654.28,1650.31,1651.56,14439.04
1781151300000,1651.56,1653.8,1650.07,1650.71,9016.56
1781152200000,1650.71,1656.76,1649.38,1655.24,8832.36
1781153100000,1655.24,1659.26,1654.76,1656.24,9236.47
1781154000000,1656.24,1656.61,1649.89,1650.56,22732.71
1781154900000,1650.56,1652.86,1646.84,1648.7,6446.61
1781155800000,1648.7,1651.38,1647.44,1651.1,3875.43
1781156700000,1651.1,1651.59,1647.04,1647.24,4316.86
1781157600000,1647.24,1657.87,1645.35,1656.38,19400.68
1781158500000,1656.38,1661.85,1656.38,1658.23,29664.49
1781159400000,1658.23,1662.49,1657.61,1659.63,7580.73
1781160300000,1659.63,1659.84,1653.83,1654.0,10048.63
1781161200000,1654.0,1654.72,1651.31,1653.39,7098.29
1781162100000,1653.39,1657.67,1653.03,1656.29,6165.49
1781163000000,1656.29,1657.5,1650.74,1652.13,7934.82
1781163900000,1652.13,1654.56,1652.11,1653.76,4493.85
1781164800000,1653.76,1659.16,1653.53,1657.65,5458.88
1781165700000,1657.65,1661.2,1656.08,1660.29,7290.6
1781166600000,1660.29,1662.9,1659.76,1660.07,13073.56
1781167500000,1660.07,1663.98,1658.4,1659.34,6569.68
1781168400000,1659.34,1660.86,1656.59,1658.05,8010.59
1781169300000,1658.05,1658.24,1655.07,1656.56,9978.48
1781170200000,1656.56,1660.22,1656.53,1659.29,10730.29
1781171100000,1659.29,1661.47,1658.12,1658.29,8667.24
1781172000000,1658.29,1659.69,1656.8,1657.2,8625.43
1781172900000,1657.2,1658.0,1653.5,1656.01,8790.53
1781173800000,1656.01,1658.3,1656.0,1656.2,4210.07
1781174700000,1656.2,1660.96,1656.0,1658.05,10644.47
1781175600000,1658.05,1661.65,1655.54,1661.64,28425.96
1781176500000,1661.64,1663.94,1658.8,1662.5,15628.88
1781177400000,1662.5,1666.08,1660.1,1661.85,12239.38
1781178300000,1661.85,1673.58,1661.6,1665.94,37704.57
1781179200000,1665.94,1666.13,1658.5,1660.47,18477.91
1781180100000,1660.47,1661.3,1645.13,1647.78,61480.92
1781181000000,1647.78,1653.28,1641.72,1651.62,46417.32
1781181900000,1651.62,1653.7,1648.56,1650.8,20617.36
1781182800000,1650.8,1650.92,1647.27,1648.77,5908.48
1781183700000,1648.77,1653.71,1646.44,1647.93,14942.19
1781184600000,1647.93,1652.16,1643.53,1650.05,15533.67
1781185500000,1650.05,1658.99,1649.31,1652.58,28422.69
1781186400000,1652.58,1654.46,1642.0,1643.64,14852.52
1781187300000,1643.64,1649.3,1637.12,1648.91,31573.8
1781188200000,1648.91,1652.99,1644.92,1650.35,11943.19
1781189100000,1650.35,1654.78,1642.0,1642.12,13598.21
1781190000000,1642.12,1647.86,1634.38,1644.21,33484.27
1781190900000,1644.21,1649.32,1642.24,1645.25,9437.06
1781191800000,1645.25,1650.56,1641.12,1643.8,10986.4
1781192700000,1643.8,1644.94,1640.03,1644.66,8625.3
1781193600000,1644.66,1648.64,1642.36,1648.64,6062.32
1781194500000,1648.64,1648.9,1638.48,1640.85,9520.82
1781195400000,1640.85,1647.48,1637.0,1642.21,12859.27
1781196300000,1642.21,1643.28,1638.26,1638.7,5121.84
1781197200000,1638.7,1640.95,1632.72,1635.77,33384.17
1781198100000,1635.77,1654.0,1631.69,1653.6,73578.16
1781199000000,1653.6,1682.76,1653.25,1676.87,150098.66
1781199900000,1676.87,1693.23,1673.11,1687.98,72486.31
1781200800000,1687.98,1691.42,1676.11,1682.91,33366.91
1781201700000,1682.91,1687.41,1675.8,1680.03,43833.4
1781202600000,1680.03,1686.44,1679.07,1686.13,11624.31
1781203500000,1686.13,1686.57,1682.47,1683.23,12870.22
1781204400000,1683.23,1685.77,1674.88,1677.96,19495.15
1781205300000,1677.96,1683.63,1677.15,1679.12,8844.88
1781206200000,1679.12,1692.86,1679.01,1685.5,42297.29
1781207100000,1685.5,1685.5,1679.84,1680.51,19337.97
1781208000000,1680.51,1682.46,1676.96,1678.47,13057.22
1781208900000,1678.47,1679.16,1667.79,1669.65,15360.15
1781209800000,1669.65,1672.24,1666.34,1667.62,11578.75
1781210700000,1667.62,1671.68,1667.26,1671.62,8046.84
1781211600000,1671.62,1683.19,1671.39,1680.79,9574.55
1781212500000,1680.79,1681.95,1677.12,1678.17,12334.82
1781213400000,1678.17,1680.49,1677.0,1679.56,4845.47
1781214300000,1679.56,1680.19,1675.16,1676.42,5847.43
1781215200000,1676.42,1682.33,1675.57,1680.22,6828.4
1781216100000,1680.22,1682.45,1674.71,1677.12,6603.26
1781217000000,1677.12,1681.24,1674.71,1675.31,4687.39
1781217900000,1675.31,1678.19,1674.32,1675.22,2475.98
1781218800000,1675.22,1675.22,1670.24,1672.47,6204.06
1781219700000,1672.47,1673.35,1669.35,1669.65,8155.48
1781220600000,1669.65,1678.49,1669.64,1676.02,8101.35
1781221500000,1676.02,1676.88,1671.17,1672.79,5420.92
1781222400000,1672.79,1677.2,1669.4,1675.12,5554.75
1781223300000,1675.12,1675.12,1668.44,1672.01,6932.38
1781224200000,1672.01,1676.66,1670.74,1673.84,3463.15
1781225100000,1673.84,1675.56,1671.78,1671.98,4137.48
1781226000000,1671.98,1672.0,1667.0,1668.37,12109.93
1781226900000,1668.37,1670.73,1658.19,1662.1,27375.26
1781227800000,1662.1,1664.8,1661.2,1663.94,13036.84
1781228700000,1663.94,1666.57,1663.71,1666.28,3981.58
1781229600000,1666.28,1677.12,1665.91,1674.69,15509.26
1781230500000,1674.69,1675.12,1671.0,1672.42,4370.81
1781231400000,1672.42,1677.74,1671.74,1676.65,4696.38
1781232300000,1676.65,1676.84,1673.99,1674.93,2967.21
1781233200000,1674.93,1676.0,1672.6,1673.09,3064.31
1781234100000,1673.09,1673.28,1668.0,1670.77,4838.95
1781235000000,1670.77,1673.54,1669.45,1671.0,3383.0
1781235900000,1671.0,1672.78,1670.22,1672.42,1745.11
1781236800000,1672.42,1672.58,1668.2,1669.51,2801.78
1781237700000,1669.51,1678.96,1669.5,1676.73,10869.84
1781238600000,1676.73,1681.2,1676.32,1677.84,8682.71
1781239500000,1677.84,1679.05,1676.34,1676.68,1856.34
1781240400000,1676.68,1677.06,1666.27,1666.8,12035.91
1781241300000,1666.8,1670.66,1666.62,1667.78,9518.83
1781242200000,1667.78,1668.81,1662.0,1663.7,14603.3
1781243100000,1663.7,1664.77,1661.17,1663.4,8356.13
1781244000000,1663.4,1665.89,1660.64,1661.69,12988.56
1781244900000,1661.69,1661.83,1656.95,1659.35,13775.76
1781245800000,1659.35,1659.35,1651.0,1653.94,20945.59
1781246700000,1653.94,1659.04,1653.76,1656.56,9476.72
1781247600000,1656.56,1660.43,1656.1,1656.2,6087.87
1781248500000,1656.2,1659.2,1655.14,1657.97,4430.09
1781249400000,1657.97,1660.6,1657.81,1659.63,5782.48
1781250300000,1659.63,1664.0,1658.59,1661.2,10681.43
1781251200000,1661.2,1667.66,1661.12,1666.5,11403.34
1781252100000,1666.5,1677.53,1666.1,1674.14,25892.67
1781253000000,1674.14,1674.99,1670.0,1670.3,8417.34
1781253900000,1670.3,1673.15,1669.0,1672.34,5272.98
1781254800000,1672.34,1674.73,1670.36,1674.58,5456.98
1781255700000,1674.58,1679.9,1674.3,1679.16,11451.21
1781256600000,1679.16,1683.19,1679.05,1681.64,17914.22
1781257500000,1681.64,1685.57,1679.26,1679.26,13235.18
1781258400000,1679.26,1682.6,1677.24,1678.81,8846.23
1781259300000,1678.81,1678.91,1670.86,1672.19,10508.47
1781260200000,1672.19,1676.45,1672.06,1674.28,6067.55
1781261100000,1674.28,1676.16,1673.21,1673.93,3934.94
1781262000000,1673.93,1677.43,1673.44,1675.47,4169.52
1781262900000,1675.47,1677.96,1673.39,1675.47,6357.61
1781263800000,1675.47,1675.47,1671.26,1674.46,4176.94
